iteration,RBF_BO,HyperKappa_BO,Random,LLM-GA_unrestricted_p0.05,LLM-GA_unrestricted_p0.1,LLM-GA_unrestricted_p0.3,LLM-GA_unrestricted_p0.5,LLM-GA_unrestricted_p0.7,LLM-GA_unrestricted_p0.9,LLM-GA_depth3_p0.05,LLM-GA_depth3_p0.1,LLM-GA_depth3_p0.3,LLM-GA_depth3_p0.5,LLM-GA_depth3_p0.7,LLM-GA_depth3_p0.9
10,-1.5002339151690267,-349.0200069028415,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.345183735619,-4946.3587260022605,-4946.343466369517,-4946.34518376974,-4946.34518376974
11,-1.5002339151690267,-349.0200069028415,-4946.354578020691,-4946.3587260022605,-4946.358093526125,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.345183735619,-4946.3587260022605,-4946.343466369517,-4946.34518376974,-4946.34518376974
12,-1.5002339151690267,-1.5002099522799428,-4946.354578020691,-4946.3587260022605,-4946.345183735619,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.352098887667,-4946.358725893154,-4946.345183735619,-4946.345183735619,-4946.343466369517,-4946.34518376974,-4946.34518376974
13,-1.5002309751956702,-1.5002099522799428,-4946.354578020691,-4946.3587260022605,-4946.345183735619,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.34518376974,-4946.358725893154,-4946.345183735619,-4946.345183735619,-4946.343466369517,-4946.34518376974,-4946.34518376974
14,-1.5002309751956702,-1.5002099522799428,-4946.352098869925,-4946.3587260022605,-4946.345183735619,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.34518376974,-4946.358725893154,-4946.345183735619,-4946.345183735619,-4946.343466369517,-4946.34518376974,-4946.34518376974
15,-1.500215190573581,-1.5002099522799428,-4946.352098869925,-4946.3587260022605,-4946.345183735619,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.34518376974,-4946.347883485856,-4946.345183735619,-4946.345183735619,-4946.343466369517,-4946.34518376974,-4946.34518376974
16,-1.500215190573581,-1.5002099522799428,-4946.352098869925,-4946.3587260022605,-4946.345183735619,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.34518376974,-4946.347883485856,-4946.345183735619,-4946.345183735619,-4946.343466369517,-4946.34518376974,-4946.34518376974
17,-1.500215190573581,-1.5002099522799428,-4946.352098869925,-4946.3587260022605,-4946.345183735619,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.34518376974,-4946.347883485856,-4946.345183735619,-4946.345183735619,-4946.343466369517,-4946.34518376974,-4946.34518376974
18,-1.5002099522799428,-1.5002099522799428,-1.5002309751956702,-4946.3587260022605,-4946.345183735619,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.34518376974,-4946.347883485856,-4946.345183735619,-4946.345183735619,-4946.343466369517,-4946.34518376974,-4946.34518376974
19,-1.5002099522799428,-1.5002099522799428,-1.5002309751956702,-4946.3587260022605,-4946.345183735619,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.34518376974,-4946.347883485856,-4946.345183735619,-4946.345183735619,-4946.343466369517,-4946.34518376974,-4946.34518376974
20,-1.5002099522799428,-1.5002099522799428,-1.5002309751956702,-4946.3587260022605,-4946.345183735619,-4946.345183735619,-4946.34518376974,-4946.352098869925,-4946.34518376974,-4946.347883485856,-4946.345183735619,-4946.345183735619,-4946.343466369517,-4946.34518376974,-4946.34518376974
