,kernel,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
16,((PER * SE) + RQ),0.013038888540336297,-0.058956398028253205,0.042409898638273096,0.012549635219040083,-0.04889444968949434,-0.0012155070054883923,-0.0009621954742882479,0.0009984227960349887,-0.006700270710729561,-0.009771117955942626,-0.00013094277807859599,0.00012041417798868305,-0.003902488001534074,-0.0074748564071442525,0.0017836613697642457
17,((PER * SE) + SE),0.015176120416266432,-0.0518646322683044,0.03719635479005888,0.021418612292365885,-0.049410729838036446,-0.01188999173340323,0.004279986121093778,0.01070634244950521,0.002474358228394771,-0.0005966043768963668,-0.009555866029409289,-0.0033304402593080096,0.001253736094258843,-0.0017682825001474464,-0.0006166641075378727
18,((PER + PER) * PER),0.2018833565664439,0.02902590775186195,-0.03759556894815064,-0.0659754165871282,-0.014963949357123326,-0.033011616066916695,0.036856946111987476,-0.009123774441316993,-0.00025145250314671493,-0.0013035669189635417,0.002668480304096377,-0.00943551814164646,7.073453856118555e-05,-0.0006412313278917122,7.564987573405157e-05
19,((PER + PER) * RQ),0.1559607829440102,0.02056016341970948,-0.009518199203328095,0.01657927696477672,-0.0037029734720881637,0.025473372175262073,0.000697863518913815,0.0017354776663863266,0.007628048684304682,0.002788214139369399,0.003594468632280456,-0.008999067520032987,-0.006222352268737445,0.008244891859169736,-0.0006253597153255809
20,((PER + PER) * SE),0.16406094558925619,0.020177345050331877,-0.006115756686795811,0.022718458891833215,0.0007590223172574749,0.024877900250787104,0.005861733977339205,-0.0022456474391176883,0.0042530416671115396,0.0022230981561226627,-0.0026187365560111564,-0.006222854565291036,-0.0006766899832804418,0.005898851931697975,-0.0005815214597655127
21,((PER + PER) + PER),0.0916065990435391,0.005936742094667442,-0.0841252061618546,-0.04791222919774745,-0.031122709697415908,-0.003171419903847452,0.01015874677616644,0.015717831613698576,-0.024788725197435895,0.012458645955000701,-0.008891043829188617,0.00738801104461083,-0.008629916389793367,0.003038309006797159,0.002538214790351444
22,((PER + PER) + RQ),0.03453168996895152,-0.034901197304039296,-0.03888962441377495,-0.020594740461579258,-0.01000684660715436,0.02297191284525185,-0.009645329747500788,-0.007656090686759016,0.007163491556146056,0.004317974179451528,0.005847207313083531,0.0024407061468588957,-0.005392290341805955,-0.009157256193539706,-0.003059674429006573
23,((PER + PER) + SE),0.03915799139516813,-0.03393303293245608,-0.04180214145886283,-0.014271345454986288,-0.00867580949724406,0.019538176794045826,-0.007145872253888812,-0.009918632610776718,0.010458244789115468,0.007361381425264855,-0.001037261614752662,0.0038866866140831904,-0.002608869683963846,-0.007036296629110173,-0.001698358751554476
24,((PER + RQ) * PER),0.1850076312515521,0.033590808553579383,-0.003784199337154266,-0.022734235832911728,-0.003632720118755848,-0.004900879874028458,-0.01567412423532943,0.01437040467083897,-0.00020540862986632953,0.0006385461192422418,0.01303984231612788,0.010586416334462508,0.007565293491945642,-0.00042674705520246207,0.008509300258765878
25,((PER + RQ) * RQ),0.034024034444660706,-0.05075459519423293,0.008202307162445377,0.021479362118995933,0.019299654139117786,-0.015180514838606246,0.005500227919750071,0.009465956277996424,-0.0026438997541137544,0.0022504087834718596,0.011562424737644874,-0.002189333725433405,-0.006428774271331451,0.0011474757013047742,-0.0020836237891221866
